Date,Open,High,Low,Close,Volume,Ticker,
19930401,1676.40002,1676.40002,1676.40002,1676.40002,545299968,XJO,
19930402,1692.30005,1692.30005,1692.30005,1692.30005,294100000,XJO,
19930405,1678.69995,1678.69995,1678.69995,1678.69995,709800000,XJO,
19930406,1665.90002,1665.90002,1665.90002,1665.90002,312500000,XJO,
19930407,1662,1662,1662,1662,885500032,XJO,
19930408,1674.30005,1674.30005,1674.30005,1674.30005,318800000,XJO,
19930413,1699.19995,1699.19995,1699.19995,1699.19995,647900032,XJO,
19930414,1714.69995,1714.69995,1714.69995,1714.69995,670099968,XJO,
19930415,1713.40002,1713.40002,1713.40002,1713.40002,1061900032,XJO,
19930416,1713.40002,1713.40002,1713.40002,1713.40002,731000000,XJO,
19930419,1705.5,1705.5,1705.5,1705.5,490500000,XJO,
19930420,1712.69995,1712.69995,1712.69995,1712.69995,803600000,XJO,
19930421,1702.40002,1702.40002,1702.40002,1702.40002,1206099968,XJO,
19930422,1714.40002,1714.40002,1714.40002,1714.40002,458400000,XJO,
19930423,1710.90002,1710.90002,1710.90002,1710.90002,931600000,XJO,
19930426,1716,1716,1716,1716,1198300032,XJO,
19930427,1709.09998,1709.09998,1709.09998,1709.09998,1181799936,XJO,
19930428,1709.19995,1709.19995,1709.19995,1709.19995,706499968,XJO,
19930429,1684,1684,1684,1684,810000000,XJO,
19930430,1685.19995,1685.19995,1685.19995,1685.19995,1369699968,XJO,
19930503,1668.69995,1668.69995,1668.69995,1668.69995,663699968,XJO,
19930504,1668.09998,1668.09998,1668.09998,1668.09998,694700032,XJO,
19930505,1678.5,1678.5,1678.5,1678.5,704300032,XJO,
19930506,1696,1696,1696,1696,465800000,XJO,
19930507,1688.5,1688.5,1688.5,1688.5,765900032,XJO,
19930510,1673.90002,1673.90002,1673.90002,1673.90002,583800000,XJO,
19930511,1689.5,1689.5,1689.5,1689.5,86400000,XJO,
19930512,1698.30005,1698.30005,1698.30005,1698.30005,792000000,XJO,
19930513,1696.19995,1696.19995,1696.19995,1696.19995,1213200000,XJO,
19930514,1698.90002,1698.90002,1698.90002,1698.90002,875500032,XJO,
19930517,1686.19995,1686.19995,1686.19995,1686.19995,644700032,XJO,
19930518,1676.40002,1676.40002,1676.40002,1676.40002,969699968,XJO,
19930519,1680.19995,1680.19995,1680.19995,1680.19995,873800000,XJO,
